code_insee,population,superficie,densite
02088,88,2.64,33.33333333333333
02089,1146,7.47,153.4136546184739
02090,203,10.17,19.960668633235006
02091,94,5.27,17.836812144212526
02093,1306,10.8,120.92592592592592
02094,469,9.7,48.35051546391753
02095,5703,31.74,179.67863894139887
02096,194,10.32,18.7984496124031
02097,261,13.29,19.638826185101582
02098,378,2.11,179.14691943127963
02099,216,6.34,34.06940063091483
02100,138,7.98,17.293233082706767
02101,186,9.68,19.214876033057852
02102,188,13.04,14.41717791411043
02103,1331,10.44,127.4904214559387
02104,98,4.36,22.477064220183486
02105,193,7.52,25.664893617021278
02106,810,5.12,158.203125
02107,105,2.8,37.5
02108,158,1.92,82.29166666666667
02109,473,19.0,24.894736842105264
02110,2232,11.61,192.24806201550388
02111,726,6.56,110.67073170731707
02112,554,13.14,42.16133942161339
02114,1558,7.45,209.12751677852347
02115,186,8.09,22.991347342398022
02116,142,9.17,15.485278080697928
02117,67,2.88,23.26388888888889
02118,129,1.34,96.26865671641791
02119,321,9.98,32.16432865731463
02120,196,4.34,45.16129032258065
02121,237,4.52,52.43362831858408
02122,55,2.8,19.642857142857142
02123,299,8.98,33.29621380846325
02124,651,12.38,52.584814216478186
02125,183,7.24,25.276243093922652
02126,448,8.9,50.33707865168539
02127,191,9.05,21.104972375690608
02128,1447,11.61,124.63393626184325
02129,19,5.7,3.333333333333333
02130,198,12.85,15.408560311284047
02131,1883,12.86,146.4230171073095
02132,192,8.74,21.96796338672769
02133,403,14.46,27.869986168741352
02134,854,4.13,206.77966101694915
02135,1148,17.6,65.22727272727272
02136,128,13.83,9.255242227042661
02137,151,7.4,20.405405405405403
02138,200,4.75,42.10526315789474
02139,447,6.63,67.42081447963801
02140,457,9.15,49.94535519125683
02141,1772,12.26,144.53507340946166
02142,251,5.71,43.957968476357266
02143,184,0.41,448.7804878048781
02144,140,5.96,23.48993288590604
02145,545,5.71,95.44658493870404
02146,96,3.91,24.55242966751918
02148,256,6.16,41.55844155844156
02149,60,4.0,15.0
02150,62,7.22,8.587257617728532
02151,116,3.19,36.36363636363637
02152,87,4.61,18.872017353579174
02153,775,20.21,38.34735279564572
02154,365,12.74,28.649921507064363
02155,177,2.17,81.5668202764977
02156,258,7.66,33.68146214099217
02157,834,8.89,93.8132733408324
02158,271,3.34,81.13772455089821
02159,302,9.16,32.96943231441048
02160,527,18.6,28.333333333333332
02162,298,7.9,37.72151898734177
02163,2585,20.52,125.97465886939571
02164,327,9.83,33.26551373346897
02165,1655,3.66,452.18579234972674
02166,359,8.76,40.981735159817354
02167,888,10.85,81.84331797235023
02168,15306,16.55,924.833836858006
02169,84,10.56,7.954545454545454
02170,124,2.62,47.32824427480916
02171,90,4.7,19.148936170212764
02172,251,8.52,29.460093896713616
